carteira,pep,descricao,orcamento,disposto,real,comprometido,disponivel
3102-26-19,3102-26-19-001,Digitalização da cad,500000,263718,263718,0,236282
3102-26-19,3102-26-19-002,Otimiza Logistica,480000,300000,51946,248054,180000
3102-26-19,3102-26-19-003,Sensoriamento com IA,548509,532028,274399,257629,16481
3102-26-19,3102-26-19-004,(EY) IA para Manuten,350000,290000,200000,90000,60000
3102-26-19,3102-26-19-005,Facilita - Novos mod,450000,450000,450000,0,0
3102-26-19,3102-26-19-006,Otimiza Forno - Fase,315000,0,0,0,315000
3102-26-19,3102-26-19-007,Aliança Industrial -,300000,300000,300000,0,0
3102-26-19,3102-26-19-008,Desenvolvimento de C,124250,14250,8850,5400,110000
3102-26-19,3102-26-19-009,Marcha de Referência,290000,0,0,0,290000
3102-26-19,3102-26-19-010,Planejamento de dema,238000,238000,119400,118600,0
3102-26-19,3102-26-19-014,Programa de ideias,30000,0,0,0,30000
3102-26-19,3102-26-19-018,Plataforma unificada,100000,0,0,0,100000
3102-26-19,3102-26-19-019,Drone para segurança,90000,78623,78623,0,11377
3102-26-19,3102-26-19-020,Melhoria da malha de,50000,0,0,0,50000
3102-26-19,3102-26-19-021,RDO Obras,50000,0,0,0,50000
3102-26-19,3102-26-19-022,IOT para medição de,32000,22529,22529,0,9471
3102-26-19,3102-26-19-023,Novos Produtos em Vi,50000,19024,19013,11,30976
3102-26-19,3102-26-19-024,Plataforma Gestão Ag,131000,0,0,0,131000
3102-26-19,3102-26-19-025,Robótica Unitree,150000,0,0,0,150000
3102-26-19,3102-26-19-026,Ambiente Mendix para,15000,1560,1560,0,13440
3102-26-19,3102-26-19-027,Finovix,25000,18500,18500,0,6500
